log_text,failure_type
"[INFO] Building project...
org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'userService'
Executing Gradle task...",test
"SonarQube Security Hotspot: SQL Injection vulnerability in UserDao.java:123
[WARN] Deprecated API usage detected
Executing Gradle task...
[WARN] Deprecated API usage detected",security
"Running CI pipeline step 20...
[INFO] Building project...
FATAL: Connection to database failed: connection refused",infra
"com.zaxxer.hikari.pool.HikariPool: HikariPool-1 - Connection is not available, timeout after 30000ms
Setting up test environment...
[DEBUG] Loading configuration...",infra
"error: cannot find symbol
  class UserRepository
  location: package com.example.repository
[INFO] Starting Spring Boot application...
Uploading artifacts to registry...",build
"[INFO] Starting Spring Boot application...
[DEBUG] Loading configuration...
Error response from daemon: OOM killer killed your process
Connecting to external service...",infra
"Downloading dependencies...
Error: ENOSPC: no space left on device, write
Setting up test environment...
Connecting to external service...
Downloading dependencies...",infra
"Executing Gradle task...
Could not find artifact org.example:lib:jar:2.0.0 in central
[INFO] Building project...
Executing Gradle task...
Executing Gradle task...",build
"Uploading artifacts to registry...
[INFO] Building project...
PMD: Avoid unused private fields such as 'logger'.
[INFO] Starting Spring Boot application...",build
"Setting up test environment...
FAILURE: Build failed with an exception.
* What went wrong:
Execution failed for task ':compileJava'.
[INFO] Building project...",build
"java.lang.NullPointerException
  at com.example.service.UserServiceTest.testGetUser(UserServiceTest.java:42)
[INFO] Starting Spring Boot application...
[INFO] Building project...",test
"[INFO] Starting Spring Boot application...
PMD: Avoid unused private fields such as 'logger'.
Uploading artifacts to registry...
[DEBUG] Loading configuration...",build
"Executing Gradle task...
Setting up test environment...
SpotBugs found 3 bugs in com.example.UserService",build
"[WARN] Deprecated API usage detected
Tests run: 45, Failures: 3, Errors: 0, Skipped: 2
  FAILED com.example.UserServiceTest.testCreateUser
[DEBUG] Loading configuration...
[INFO] Building project...",test
"Executing Gradle task...
[INFO] Building project...
SSL handshake failed: PKIX path building failed: unable to find valid certification path
[INFO] Building project...
Connecting to external service...",infra
"Running CI pipeline step 20...
[DEBUG] Loading configuration...
FAILURE: Build failed with an exception.
* What went wrong:
Execution failed for task ':compileJava'.
Executing Gradle task...",build
"[INFO] Starting Spring Boot application...
[INFO] Starting Spring Boot application...
Connecting to external service...
[ERROR] Tests run: 1, Failures: 1, Errors: 0, Skipped: 0
[INFO] Starting Spring Boot application...",test
"[INFO] Starting Spring Boot application...
FAILURE: Build failed with an exception.
* What went wrong:
Execution failed for task ':compileJava'.
Executing Gradle task...",build
"[DEBUG] Loading configuration...
Trivy scan found 3 CRITICAL and 7 HIGH vulnerabilities in openjdk:17-alpine base image
[INFO] Starting Spring Boot application...",security
"java.lang.OutOfMemoryError: Java heap space
  at java.util.Arrays.copyOf(Arrays.java:3210)
[INFO] Starting Spring Boot application...
[DEBUG] Loading configuration...
Connecting to external service...",infra
"curl: (6) Could not resolve host: maven.example.com
[INFO] Starting Spring Boot application...
Executing Gradle task...",infra
"Uploading artifacts to registry...
java.net.ConnectException: Connection refused (Connection refused)
  at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
[WARN] Deprecated API usage detected",infra
"[INFO] Starting Spring Boot application...
Executing Gradle task...
Running CI pipeline step 19...
[ERROR] BUILD FAILURE
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11:compile",build
"Snyk test failed: 2 critical severity vulnerabilities found in spring-core:5.3.20
Downloading dependencies...
Running CI pipeline step 18...
Connecting to external service...",security
"Running CI pipeline step 19...
Setting up test environment...
TestTimedOutException: test timed out after 30000 milliseconds
Executing Gradle task...",test
"[DEBUG] Loading configuration...
FAILED: com.example.api.UserControllerTest - 2 tests FAILED
[DEBUG] Loading configuration...",test
"Executing Gradle task...
[INFO] Building project...
[WARN] Deprecated API usage detected
Setting up test environment...
Failed to load ApplicationContext for test class com.example.IntegrationTest",test
"> Task :test FAILED
Could not resolve com.h2database:h2:2.2.224
Uploading artifacts to registry...
[INFO] Building project...",build
"[INFO] Starting Spring Boot application...
Executing Gradle task...
SSL handshake failed: PKIX path building failed: unable to find valid certification path",infra
"Connecting to external service...
Gradle build daemon disappeared unexpectedly
Connecting to external service...
Uploading artifacts to registry...
[WARN] Deprecated API usage detected",build
"Executing Gradle task...
Running CI pipeline step 7...
Setting up test environment...
org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'userService'",test
"org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'userService'
Uploading artifacts to registry...
[INFO] Building project...",test
"Uploading artifacts to registry...
Mockito: Wanted but not invoked: mockUserRepo.save()
Setting up test environment...",test
"PMD: Avoid unused private fields such as 'logger'.
[INFO] Building project...
Executing Gradle task...
Setting up test environment...",build
"Executing Gradle task...
Downloading dependencies...
Executing Gradle task...
[WARN] Deprecated API usage detected
Error: ENOSPC: no space left on device, write",infra
"org.junit.ComparisonFailure: expected:<Hello [World]> but was:<Hello [there]>
Executing Gradle task...
Executing Gradle task...",test
"[INFO] Building project...
[DEBUG] Loading configuration...
Executing Gradle task...
[ERROR] Tests run: 1, Failures: 1, Errors: 0, Skipped: 0
Executing Gradle task...",test
"[ERROR] Tests run: 1, Failures: 1, Errors: 0, Skipped: 0
Running CI pipeline step 2...
Downloading dependencies...
Connecting to external service...",test
"Job exceeded maximum allowed timeout of 3600 seconds
Downloading dependencies...
[INFO] Starting Spring Boot application...",infra
"Running CI pipeline step 2...
error: cannot find symbol
  class UserRepository
  location: package com.example.repository
Connecting to external service...
[WARN] Deprecated API usage detected",build
"[DEBUG] Loading configuration...
[WARN] Deprecated API usage detected
Setting up test environment...
[INFO] Starting Spring Boot application...
[ERROR] Source option 8 is no longer supported. Use 11 or later.",build
"Running CI pipeline step 2...
[INFO] Starting Spring Boot application...
Could not resolve host: registry.example.com: Name or service not known",infra
"[WARN] Deprecated API usage detected
Downloading dependencies...
Executing Gradle task...
[WARN] Deprecated API usage detected
Could not find artifact org.example:lib:jar:2.0.0 in central",build
"Running CI pipeline step 19...
gitleaks: possible secret in commit abc123: password = 'supersecret123'
[INFO] Starting Spring Boot application...",security
"Connecting to external service...
ERROR: No space left on device (errno=28)
failed to write output file
Running CI pipeline step 13...
Running CI pipeline step 6...
[INFO] Building project...",infra
"Running CI pipeline step 1...
java.lang.AssertionError: expected true but was false
  at TestFoo.testBar(TestFoo.java:56)
[INFO] Building project...
Executing Gradle task...",test
"Downloading dependencies...
[INFO] Building project...
Compilation failed; see the compiler error output for details.
javac: error: invalid flag: --enable-preview",build
"FATAL: Connection to database failed: connection refused
Downloading dependencies...
Connecting to external service...",infra
"Downloading dependencies...
[INFO] Building project...
Setting up test environment...
TestTimedOutException: test timed out after 30000 milliseconds
Setting up test environment...",test
"Connecting to external service...
Connecting to external service...
Job exceeded maximum allowed timeout of 3600 seconds
Downloading dependencies...",infra
"Process exited with code 1
The process '/bin/bash' exited with code 1
[INFO] Building project...
Downloading dependencies...",unknown
"Setting up test environment...
[WARN] Deprecated API usage detected
Downloading dependencies...
java.lang.AssertionError: expected true but was false
  at TestFoo.testBar(TestFoo.java:56)
[INFO] Building project...",test
"docker: Error response from daemon: Conflict. The container name is already in use.
[DEBUG] Loading configuration...
Executing Gradle task...",infra
"Job exceeded maximum allowed timeout of 3600 seconds
Uploading artifacts to registry...
Executing Gradle task...
Running CI pipeline step 2...",infra
"Executing Gradle task...
Connecting to external service...
[INFO] Starting Spring Boot application...
java.lang.AssertionError: expected true but was false
  at TestFoo.testBar(TestFoo.java:56)
[INFO] Starting Spring Boot application...",test
"[INFO] Starting Spring Boot application...
Job exceeded maximum allowed timeout of 3600 seconds
[DEBUG] Loading configuration...
[WARN] Deprecated API usage detected
Connecting to external service...",infra
"Running CI pipeline step 17...
FAILED: com.example.api.UserControllerTest - 2 tests FAILED
[INFO] Building project...
Connecting to external service...",test
